cisloKraje;kraj;strana;jmeno;vek;prislusnost;hlasy;poradi
1;Hlavní mìsto Praha;TOP 09;Schwarzenberg Karel;72;TOP 09;46087;1
1;Hlavní mìsto Praha;ÈSSD;Pecina Martin  Ing. MBA;41;BEZPP;15095;2
2;Støedoèeský kraj;ODS;Bendl Petr  Ing.;44;ODS;16593;1
2;Støedoèeský kraj;ÈSSD;Rath David  MUDr.;44;ÈSSD;13817;2
3;Jihoèeský kraj;ÈSSD;Jandák Vítìzslav  Mgr.;62;ÈSSD;7175;1
3;Jihoèeský kraj;ODS;Doktor Michal;42;ODS;6693;2
4;Plzeòský kraj;ODS;Pospíšil Jiøí  JUDr.;34;ODS;8411;1
4;Plzeòský kraj;ÈSSD;Emmerová Milada  Doc. MUDr. CSc.;65;ÈSSD;7715;2
5;Karlovarský kraj;TOP 09;Chlad Rudolf;62;TOP 09;3299;1
5;Karlovarský kraj;ÈSSD;Novotný Josef  PaedDr.;57;ÈSSD;2454;2
6;Ústecký kraj;ÈSSD;Paroubek Jiøí  Ing.;57;ÈSSD;18518;1
6;Ústecký kraj;ÈSSD;Šlégr Jiøí;38;ÈSSD;12448;2
7;Liberecký kraj;ÈSSD;Ploc Pavel;45;ÈSSD;5594;1
7;Liberecký kraj;TOP 09;Farský Jan  Mgr.;30;SLK;3425;2
8;Královéhradecký kraj;TOP 09;Heger Leoš  doc. MUDr. CSc.;62;TOP 09;7956;1
8;Královéhradecký kraj;ODS;Horníková Zdeòka  Mgr.;57;ODS;4635;2
9;Pardubický kraj;TOP 09;Skalický Jiøí  prim. PharmDr. Ph.D.;55;BEZPP;5598;1
9;Pardubický kraj;KDU-ÈSL;Luxová Vìra;54;KDU-ÈSL;4830;2
10;Vysoèina;ÈSSD;Bublan František  Mgr.;59;BEZPP;6211;1
10;Vysoèina;ODS;Nìmcová Miroslava;57;ODS;5278;2
11;Jihomoravský kraj;ÈSSD;Hašek Michal  Mgr.;34;ÈSSD;25181;1
11;Jihomoravský kraj;ÈSSD;Sobotka Bohuslav  Mgr.;38;ÈSSD;23962;2
12;Olomoucký kraj;ÈSSD;Holík Pavel  MUDr.;53;ÈSSD;6938;1
12;Olomoucký kraj;ODS;Boháè Zdenìk  Mgr.;52;ODS;5509;2
13;Zlínský kraj;ODS;Neèas Petr  RNDr.;45;ODS;13221;1
13;Zlínský kraj;ÈSSD;Škromach Zdenìk  Ing.;53;ÈSSD;8771;2
14;Moravskoslezský kraj;ÈSSD;Zaorálek Lubomír  PhDr.;53;ÈSSD;23712;1
14;Moravskoslezský kraj;ODS;Drobil Pavel  Mgr.;38;ODS;7744;2
